id,question1,question2,is_duplicate,difficulty
0,What is the best way to learn Python for beginners?,How do I train a puppy not to bite?,0,easy_negative
1,What is the best way to store fresh basil?,How should I keep basil fresh for longer?,1,heavy_duplicate
2,What are the rules of chess for beginners?,What are the rules of checkers for beginners?,0,hard_negative
3,What is the fastest way to learn to swim?,How can an adult learn to swim quickly?,1,heavy_duplicate
4,How can I start investing with a small amount of money?,How can I start investing with only a small amount of money?,1,light_duplicate
5,How can I start investing with a small amount of money?,How do I write a good resume with no experience?,0,easy_negative
6,How can I save money on a tight budget?,What causes a car battery to die quickly?,0,easy_negative
7,What is the difference between machine learning and deep learning?,How does deep learning differ from machine learning?,1,heavy_duplicate
8,How do I write a good resume with no experience?,What should a resume look like if I have no work experience?,1,heavy_duplicate
9,How can I improve my English speaking skills?,What is the best recipe for chocolate chip cookies?,0,easy_negative
10,What are the best places to visit in Japan?,What should I pack for a camping trip?,0,easy_negative
11,What is the fastest way to learn to swim?,What is the best way to clean a cast iron skillet?,0,easy_negative
12,How do I set up a home Wi-Fi network?,How do I set up a Wi-Fi network at home?,1,light_duplicate
13,How can I reduce stress at work?,How can I reduce my stress at work?,1,light_duplicate
14,What are the benefits of regular meditation?,How does practicing meditation regularly help a person?,1,heavy_duplicate
15,How do I remove a red wine stain from a carpet?,What is the best method to get red wine out of a carpet?,1,heavy_duplicate
16,How do I lose weight fast?,What are the rules of chess for beginners?,0,easy_negative
17,What is the best way to learn Python for beginners?,What is the best way for beginners to learn Python?,1,light_duplicate
18,What are the symptoms of a vitamin D deficiency?,How do I know if I'm deficient in vitamin D?,1,heavy_duplicate
19,What is the difference between machine learning and deep learning?,What is the difference between a virus and a bacteria?,0,easy_negative
20,What are the symptoms of a vitamin D deficiency?,What are the benefits of regular meditation?,0,easy_negative
21,How can I improve my credit score quickly?,What steps can raise my credit score fast?,1,heavy_duplicate
22,What is the best way to cook rice on the stove?,What is the best way to cook quinoa on the stove?,0,hard_negative
23,What is the difference between a virus and a bacteria?,What are the best places to visit in Japan?,0,easy_negative
24,What is the best recipe for chocolate chip cookies?,How do you make really good chocolate chip cookies?,1,heavy_duplicate
25,How can I reduce stress at work?,What is the fastest way to learn to swim?,0,easy_negative
26,How can I improve my sleep quality?,How do I remove a red wine stain from a carpet?,0,easy_negative
27,How do I fix a slow laptop?,How do plants make their own food?,0,easy_negative
28,What should I pack for a camping trip?,What is the best way to clean a cast iron skillet?,0,easy_negative
29,How do I prepare for a job interview?,How should I prepare for a job interview?,1,light_duplicate
30,What are the health benefits of drinking green tea?,How do I set up a home Wi-Fi network?,0,easy_negative
31,How do I lose weight fast?,How can I lose weight fast?,1,light_duplicate
32,What is the best recipe for chocolate chip cookies?,What is the best way to store fresh basil?,0,easy_negative
33,How do plants make their own food?,What is the process by which plants produce food for themselves?,1,heavy_duplicate
34,How do I fix a slow laptop?,How do I fix a really slow laptop?,1,light_duplicate
35,How can I improve my credit score quickly?,How can I improve my typing speed quickly?,0,hard_negative
36,What are the best places to visit in Japan?,What are the best places to visit in Japan for tourists?,1,light_duplicate
37,What are good exercises for lower back pain?,What are some good exercises for lower back pain?,1,light_duplicate
38,How can I improve my English speaking skills?,How can I improve my English speaking ability?,1,light_duplicate
39,How do I train a puppy not to bite?,How do I train my puppy not to bite?,1,light_duplicate
40,How do plants make their own food?,How do bees make their own honey?,0,hard_negative
41,How do I train a puppy not to bite?,How can I improve my credit score quickly?,0,easy_negative
42,What is the best way to store fresh basil?,How do I calm down an anxious dog during a thunderstorm?,0,easy_negative
43,How do I set up a home Wi-Fi network?,How can I improve my sleep quality?,0,easy_negative
44,How do I calm down an anxious dog during a thunderstorm?,What can I do to soothe my dog when it's scared of thunder?,1,heavy_duplicate
45,How do I prepare for a job interview?,How do I calm down an anxious dog during a thunderstorm?,0,easy_negative
46,How do I remove a red wine stain from a carpet?,What are the rules of chess for beginners?,0,easy_negative
47,What are the benefits of regular meditation?,What are the benefits of regular cardio exercise?,0,hard_negative
48,How can I improve my sleep quality?,How can I improve the quality of my sleep?,1,light_duplicate
49,How do I write a good resume with no experience?,What causes a car battery to die quickly?,0,easy_negative
50,What are the rules of chess for beginners?,What are the basic rules of chess for beginners?,1,light_duplicate
51,What causes a car battery to die quickly?,Why does my car battery keep dying so fast?,1,heavy_duplicate
52,What causes a car battery to die quickly?,What are good exercises for lower back pain?,0,easy_negative
53,What is the best way to clean a cast iron skillet?,How should I properly clean a cast iron pan?,1,heavy_duplicate
54,What is the difference between a virus and a bacteria?,How are viruses different from bacteria?,1,heavy_duplicate
55,What are the health benefits of drinking green tea?,What are the health benefits of drinking green tea daily?,1,light_duplicate
56,How do I learn to play the piano as an adult?,How do I learn to play chess as an adult?,0,hard_negative
57,What should I pack for a camping trip?,What items are essential to bring when going camping?,1,heavy_duplicate
58,How can I save money on a tight budget?,How can I save money while on a tight budget?,1,light_duplicate
59,What are good exercises for lower back pain?,How can I save money on a tight budget?,0,easy_negative
